id,level,expression,reading,meaning_en,meaning_zh,tags,source_guid,source
jlpt-n5-0011,N5,上げる,あげる,"to raise, to lift",抬起；提高,JLPT JLPT_3 JLPT_5 JLPT_N5,Hp0]9?Ae.w,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0012,N5,朝,あさ,morning,早晨,Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5,g|Q>VbnCii,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0013,N5,朝御飯,あさごはん,breakfast,早餐,Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5,wWUR=G6*(U,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0014,N5,明後日,あさって,day after tomorrow,后天,JLPT JLPT_5 JLPT_N5,mF[0Aq7|V7,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0015,N5,足; 脚,あし,foot; leg,脚；腿,JLPT JLPT_5 JLPT_N5,m.INsC.wC2,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0016,N5,明日,あした,tomorrow,明天,Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.7 JLPT JLPT_3 JLPT_5 JLPT_N5,xZI7N3AauN,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0017,N5,あそこ,あそこ,"there, over there, that place",那里；那边,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,P>AI.lx+Jq,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0018,N5,遊ぶ,あそぶ,to play; to spend time pleasantly; to hang out,玩耍；游玩,Genki Genki_Ln.6 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,e<h|f2`;&,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0019,N5,暖かい,あたたかい,warm,温暖的,JLPT_N5,tk[pUMy0{i,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0020,N5,頭,あたま,head,头；头脑,Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5,DaKiPvzaex,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0021,N5,新しい,あたらしい,new,新的,Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,h)6JB@Q5Rj,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0022,N5,あちら,あちら,this way (polite),那边；那里（礼貌说法）,Genki Genki_Ln.20 JLPT JLPT_5 JLPT_N5,h{rLO32/d4,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0023,N5,暑い,あつい,"hot (in reference to weather), warm",（天气）炎热,Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5,"gSl8i,<}^I",jamsinclair/open-anki-jlpt-decks
jlpt-n5-0024,N5,熱い,あつい,hot (objects),（物体）烫；热,Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,Gy7fB=0YXx,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0025,N5,厚い,あつい,"kind, warm(hearted), thick, deep",厚的；热情的；深厚的,JLPT JLPT_5 JLPT_N5,v[2GvOysf?,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0026,N5,あっち,あっち,over there,那边（口语）,JLPT JLPT_5 JLPT_N5,Pv=fA$Z6K5,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0027,N5,後,あと,afterwards (later); in the future; the rest; since then,之后；以后；剩下的,Genki Genki_Ln.18 JLPT JLPT_2 JLPT_3 JLPT_5 JLPT_N5,"r-[yF55!,-",jamsinclair/open-anki-jlpt-decks
jlpt-n5-0028,N5,あなた,あなた,you,你；您,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5,"dwd.i?n%,!",jamsinclair/open-anki-jlpt-decks
jlpt-n5-0029,N5,兄,あに,(my) older brother (humble),哥哥（自谦语，指自己的哥哥）,Genki Genki_Ln.14 JLPT JLPT_5 JLPT_N5,L}%Kue=51s,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0030,N5,姉,あね,(my) older sister (humble),姐姐（自谦语，指自己的姐姐）,Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5,IX6p9}CO.e,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0031,N5,アパート,アパート,apartment (abbr.),公寓（小型公寓）,Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5,wZ/2ki)d+f,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0032,N5,あの,あの,"that over there; like that, that way; um...",那个（远称）；嗯…（用于犹豫或开口）,JLPT JLPT_4 JLPT_5 JLPT_N5,B2LX%goFyX,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0033,N5,浴びる,あびる,"to bathe, to shower",淋浴；浇；沐浴（在光等中）,JLPT JLPT_3 JLPT_5 JLPT_N5,b2.2F3UI=#,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0034,N5,危ない,あぶない,"dangerous, critical",危险的；危急的,Intermediate_Japanese Intermediate_Japanese_Ln.15 JLPT JLPT_5 JLPT_N5,kjgRC;INvI,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0035,N5,甘い,あまい,"generous, sweet",甜的；宽松的；天真的,Genki Genki_Ln.12 JLPT JLPT_5 JLPT_N5,jcM!HlCL`<,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0036,N5,余り,あまり,not very; surplus,（后接否定）不太…；剩余，多余,JLPT JLPT_3 JLPT_5 JLPT_N5,"l$B(J(k,y1",jamsinclair/open-anki-jlpt-decks
jlpt-n5-0037,N5,雨,あめ,rain,雨,Genki Genki_Ln.8 JLPT JLPT_5 JLPT_N5,PaXlv})<8_,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0038,N5,飴,あめ,(hard) candy,糖果,JLPT JLPT_5 JLPT_N5,v}dp1l^X:W,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0039,N5,洗う,あらう,to wash,洗；清洗,Genki Genki_Ln.8 Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_5 JLPT_N5,H=[cc$xhzR,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0040,N5,在る,ある,"to be, to have",有；存在（用于非生命物）,JLPT JLPT_3 JLPT_5 JLPT_N5,w$Yz{uB@-`,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0041,N5,有る,ある,"to be, to have",有；在,JLPT JLPT_3 JLPT_5 JLPT_N5,v`6i&kQMJj,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0042,N5,歩く,あるく,to walk,走路；步行,Genki Genki_Ln.20 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,"Kkagn,fSTU",jamsinclair/open-anki-jlpt-decks
jlpt-n5-0043,N5,あれ,あれ,that one (over there),那个（远指）,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,Co(PaI(^/_,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0044,N5,いい; よい,いい; よい,good,好的,JLPT JLPT_5 JLPT_N5,O(#?WJE%7H,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0045,N5,いいえ,いいえ,"no, not at all",不；不是,JLPT JLPT_5 JLPT_N5,"iO`r],Af`o",jamsinclair/open-anki-jlpt-decks
jlpt-n5-0046,N5,言う,いう,to say,说；讲,Genki Genki_Ln.8 JLPT JLPT_5 JLPT_N5,iurNhMLEpv,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0047,N5,家,いえ,"house, home",家；房子,Genki Genki_Ln.3 JLPT JLPT_2 JLPT_3 JLPT_5 JLPT_N5,QGc`#y1e97,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0048,N5,いかが,いかが,"how, in what way",怎么样；如何,JLPT JLPT_5 JLPT_N5,r5L~xW!JP9,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0049,N5,行く,いく; ゆく,to go,去,JLPT JLPT_5 JLPT_N5,kJnXhXxW0),jamsinclair/open-anki-jlpt-decks
jlpt-n5-0050,N5,いくつ,いくつ,"how many, how old",几个；几岁,JLPT JLPT_3 JLPT_5 JLPT_N5,mxf9)ZwbLi,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0051,N5,いくら,いくら,"how much, how many",多少（钱）,Genki Genki_Ln.2 JLPT JLPT_3 JLPT_5 JLPT_N5,G7]VF2LkZL,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0052,N5,池,いけ,pond,池塘,JLPT JLPT_5 JLPT_N5,"u8]?l[G,7&",jamsinclair/open-anki-jlpt-decks
jlpt-n5-0053,N5,医者,いしゃ,doctor; physician,医生,Genki Genki_Ln.1 Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_5 JLPT_N5,"f&|8.,xzY9",jamsinclair/open-anki-jlpt-decks
jlpt-n5-0054,N5,椅子,いす,chair,椅子,JLPT JLPT_3 JLPT_5 JLPT_N5,Nxw^e{dZp(,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0055,N5,忙しい,いそがしい,"busy (people, days)",忙碌的；忙的,Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,pTORshR]m|,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0056,N5,痛い,いたい,hurt; painful; sore,疼的；痛的,Genki Genki_Ln.12 Intermediate_Japanese Intermediate_Japanese_Ln.5 JLPT JLPT_5 JLPT_N5,O@@jk^&oQ8,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0057,N5,一,いち,one,一,JLPT JLPT_3 JLPT_5 JLPT_N5,C57gy_Lcmo,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0058,N5,一日,いちにち,one day (duration),一天,Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5,Q/Fb^F]yhk,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0059,N5,一番,いちばん,"best (most), first, number one",最；第一,Genki Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_3 JLPT_5 JLPT_N5,y&ds7j((mb,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0060,N5,いつ,いつ,when,什么时候,Genki Genki_Ln.3 JLPT JLPT_2 JLPT_5 JLPT_N5,oGX1~x%YQo,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0061,N5,五日,いつか,five days; fifth day of the month,五号（日期）；五天,Genki Genki_Ln.13 JLPT JLPT_3 JLPT_5 JLPT_N5,iii]i;bYjg,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0062,N5,一緒,いっしょ,together,一起，一同,Intermediate_Japanese Intermediate_Japanese_Ln.7 JLPT JLPT_5 JLPT_N5,D>uK5dFJy^,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0063,N5,五つ,いつつ,five things,五个,Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5,Q!*H:Q_rHO,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0064,N5,いつも,いつも,"always, usually, every time, never (with neg. verb)",总是，经常；平时，往常,Genki Genki_Ln.12 JLPT JLPT_3 JLPT_5 JLPT_N5,BM|Xrf53.p,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0065,N5,犬,いぬ,dog,狗,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5,"ktH(<>,fX+",jamsinclair/open-anki-jlpt-decks
jlpt-n5-0066,N5,今,いま,now,现在；目前,Genki Genki_Ln.1 JLPT JLPT_3 JLPT_5 JLPT_N5,N{Ld-iFO]H,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0067,N5,意味,いみ,"meaning, significance",意思，意义,Genki Genki_Ln.12 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5,xQ(-U#d9Tp,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0068,N5,妹,いもうと,younger sister (humble),妹妹（用于谦称自己的妹妹）,Genki Genki_Ln.1 Genki_Ln.7 JLPT JLPT_5 JLPT_N5,BL_XI^txw+,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0069,N5,嫌,いや,"disagreeable, detestable, unpleasant",讨厌，厌烦,JLPT JLPT_3 JLPT_5 JLPT_N5,pj6@51cCNZ,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0070,N5,入口,いりぐち,entrance,入口,JLPT JLPT_5 JLPT_N5,"E5~,8$6,oj",jamsinclair/open-anki-jlpt-decks
jlpt-n5-0071,N5,居る,いる,"(humble) to be (animate), to exist",有，在（表示人或动物的存在，自谦语）,JLPT JLPT_5 JLPT_N5,wfzvV]4NOO,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0072,N5,要る,いる,to need,需要,JLPT JLPT_5 JLPT_N5,j|TF$iBC;9,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0073,N5,入れる,いれる,to put in,放入，装入,JLPT JLPT_5 JLPT_N5,swmy/(v]Eb,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0074,N5,色,いろ,color,颜色,Genki Genki_Ln.9 Intermediate_Japanese Intermediate_Japanese_Ln.9 JLPT JLPT_5 JLPT_N5,"Epa;v6=%P,",jamsinclair/open-anki-jlpt-decks
jlpt-n5-0075,N5,色々,いろいろ,various,各种各样，形形色色,JLPT JLPT_5 JLPT_N5,jV7cB[WgxE,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0076,N5,上,うえ,"above (up, top, etc.), over, on top of",上面，上方；在……上面,JLPT JLPT_2 JLPT_5 JLPT_N5,"j3j@,T!uH>",jamsinclair/open-anki-jlpt-decks
jlpt-n5-0077,N5,後ろ,うしろ,"back, behind, rear",后面，背后,JLPT JLPT_3 JLPT_5 JLPT_N5,s:DnwS1iNM,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0078,N5,薄い,うすい,"thin, weak",薄的；淡的；微弱,JLPT JLPT_3 JLPT_5 JLPT_N5,pRrb<$bzH|,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0079,N5,歌,うた,a song,歌曲,Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5,JJN9**Hn8A,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0080,N5,歌う,うたう,to sing,唱，歌唱,Genki Genki_Ln.7 Intermediate_Japanese Intermediate_Japanese_Ln.7 JLPT JLPT_5 JLPT_N5,AN4yH;7MHR,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0081,N5,うち,うち,home; house; my place,家；自己家,Genki Genki_Ln.3 JLPT JLPT_3 JLPT_5 JLPT_N5,u5l2?%hKEd,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0082,N5,生まれる,うまれる,to be born,出生；诞生,JLPT JLPT_3 JLPT_5 JLPT_N5,i{d6CiQ#iK,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0083,N5,海,うみ,"sea, beach",大海；海边,Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,Cla&e~|Y6P,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0084,N5,売る,うる,to sell (v.t.),卖；销售（及物动词）,Genki Genki_Ln.15 Intermediate_Japanese Intermediate_Japanese_Ln.6 JLPT JLPT_3 JLPT_5 JLPT_N5,nqk=gYOr|$,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0085,N5,うるさい,うるさい,noisy; annoying,吵闹的；烦人的,Genki Genki_Ln.22 JLPT JLPT_3 JLPT_5 JLPT_N5,fsH/V)BWD4,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0086,N5,上着,うわぎ,"coat, jacket",上衣；外套,JLPT JLPT_5 JLPT_N5,nv?u]<OhhN,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0087,N5,絵,え,a painting; a picture; a drawing,画；图画,Genki Genki_Ln.15 JLPT JLPT_3 JLPT_5 JLPT_N5,E6H3mWmPF1,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0088,N5,映画,えいが,"movie, film",电影,Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.7 JLPT JLPT_5 JLPT_N5,Q842_8x`<%,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0089,N5,映画館,えいがかん,"movie theater, cinema",电影院,Genki Genki_Ln.15 JLPT JLPT_5 JLPT_N5,tKa%gU>tYk,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0090,N5,英語,えいご,English (language),英语,Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5,l~kTfp|Na~,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0091,N5,ええ,ええ,yes,嗯；好,Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5,K4f;DsCIdC,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0092,N5,駅,えき,station,车站,Genki Genki_Ln.10 JLPT JLPT_5 JLPT_N5,EP[wTa2Y![,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0093,N5,エレベーター,エレベーター,elevator,电梯,JLPT JLPT_2 JLPT_5 JLPT_N5,GomZ-xrho6,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0094,N5,～円,～えん,Yen,……日元（货币单位）,JLPT JLPT_5 JLPT_N5,"rY,[_6)@&p",jamsinclair/open-anki-jlpt-decks
jlpt-n5-0095,N5,鉛筆,えんぴつ,pencil,铅笔,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,ArKUTnLoi2,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0096,N5,お～,お～,honorable ~ (honorific),表示尊敬、郑重的前缀（お）,JLPT JLPT_5 JLPT_N5,Q1z/@I6[X=,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0097,N5,美味しい,おいしい,"delicious, tasty",好吃的；美味的,JLPT JLPT_5 JLPT_N5,f%Oz)hC{aH,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0098,N5,多い,おおい,many; there are a lot,多的（数量多）,Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,CS_ZJ+i5[),jamsinclair/open-anki-jlpt-decks
jlpt-n5-0099,N5,大きい,おおきい,"big, large",大的（体积、面积等）,Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,N*s[nF-<Om,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0100,N5,大きな,おおきな,big,大的（修饰名词）,JLPT JLPT_5 JLPT_N5,"C@,$F5(H&S",jamsinclair/open-anki-jlpt-decks
jlpt-n5-0101,N5,大勢,おおぜい,great number of people,许多人；很多人,JLPT JLPT_5 JLPT_N5,d_f[=H{F{<,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0102,N5,お母さん,おかあさん,mother (formal),母亲（敬称）,Genki Genki_Ln.1 Genki_Ln.2 JLPT JLPT_5 JLPT_N5,JmU7?0Aw7),jamsinclair/open-anki-jlpt-decks
jlpt-n5-0103,N5,お菓子,おかし,"confections, sweets, snack",点心；零食；糖果,Genki Genki_Ln.11 JLPT JLPT_5 JLPT_N5,iY2$$8!fW<,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0104,N5,お金,おかね,money,钱,Genki Genki_Ln.6 JLPT JLPT_5 JLPT_N5,uh%`nh}D?M,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0105,N5,起きる,おきる,"to get up (e.g., from sleeping); to happen",起床；发生,Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_3 JLPT_5 JLPT_N5,i~#f<a525w,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0106,N5,置く,おく,to put; to lay; to place,放；放置,Genki Genki_Ln.21 JLPT JLPT_3 JLPT_5 JLPT_N5,"KTJ,/<Sfw7",jamsinclair/open-anki-jlpt-decks
jlpt-n5-0107,N5,奥さん,おくさん,(someone else's) wife (hon.),夫人（敬称，指别人的妻子）,Genki Genki_Ln.14 Intermediate_Japanese Intermediate_Japanese_Ln.9 JLPT JLPT_5 JLPT_N5,raj<Z6u7R],jamsinclair/open-anki-jlpt-decks
jlpt-n5-0108,N5,お酒,おさけ,sake; alcohol,酒；清酒,Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5,BPnYG]G`g3,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0109,N5,お皿,おさら,"plate, dish",盘子；碟子,JLPT JLPT_5 JLPT_N5,"lNBs!SV,D!",jamsinclair/open-anki-jlpt-decks
jlpt-n5-0110,N5,伯父; 叔父さん,おじさん,"uncle, middle-aged man",叔叔（敬称）；中年男子,JLPT JLPT_5 JLPT_N5,s$4&3o9W|{,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0111,N5,おじいさん,おじいさん,"grandfather, male senior citizen",爷爷（敬称）；老爷爷,Genki Genki_Ln.13 JLPT JLPT_3 JLPT_5 JLPT_N5,OnBGSorIYO,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0112,N5,教える,おしえる,"to teach, to inform, to instruct",教；告诉；教导,Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,&(rx8HabP,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0113,N5,押す,おす,"to push, to press, to stamp (e.g., a passport)",推；按；盖（章）,Genki Genki_Ln.18 JLPT JLPT_5 JLPT_N5,O7S.k1^4+9,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0114,N5,遅い,おそい,slow; (to be) late,慢的；迟的,Genki Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.11 JLPT JLPT_5 JLPT_N5,e`TVG4aTiS,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0115,N5,お茶,おちゃ,(green) tea,茶；绿茶,Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.6 JLPT JLPT_5 JLPT_N5,"o|6tDcd,cL",jamsinclair/open-anki-jlpt-decks
jlpt-n5-0116,N5,お手洗い,おてあらい,"toilet, restroom, bathroom (lit., a place to wash one's hands)",洗手间；厕所,Genki Genki_Ln.2 Intermediate_Japanese Intermediate_Japanese_Ln.13 JLPT JLPT_5 JLPT_N5,jX+//z~!X8,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0117,N5,お父さん,おとうさん,father (formal),父亲（敬称）,Genki Genki_Ln.1 Genki_Ln.2 JLPT JLPT_5 JLPT_N5,Kh?V(6)C|2,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0118,N5,弟,おとうと,younger brother,弟弟,Genki Genki_Ln.1 Genki_Ln.7 JLPT JLPT_5 JLPT_N5,"ht,o]F,GkV",jamsinclair/open-anki-jlpt-decks
jlpt-n5-0119,N5,男,おとこ,"man, male",男人；男性,Genki Genki_Ln.17 JLPT JLPT_5 JLPT_N5,QC9-<k]D|G,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0120,N5,男の子,おとこのこ,boy,男孩,Genki Genki_Ln.11 JLPT JLPT_5 JLPT_N5,mDCUq=3c&Y,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0121,N5,一昨日,おととい,the day before yesterday,前天,Genki Genki_Ln.19 JLPT JLPT_5 JLPT_N5,n^WNNS^t5D,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0122,N5,おととし,おととし,year before last,前年,JLPT JLPT_5 JLPT_N5,"i$lVvl^Y,~",jamsinclair/open-anki-jlpt-decks
jlpt-n5-0123,N5,大人,おとな,adult,成人；大人,Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5,F~j9Wag0^x,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0124,N5,お腹,おなか,stomach,肚子（敬语前缀的礼貌说法）,JLPT JLPT_3 JLPT_5 JLPT_N5,GVf+XC=Lx4,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0125,N5,同じ,おなじ,"same, identical",相同的；一样的,Genki Genki_Ln.14 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,FT1U+`d~$u,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0126,N5,お兄さん,おにいさん,(someone else's) older brother (formal),（他人的）哥哥（尊称）,Genki Genki_Ln.1 Genki_Ln.7 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5,c-e]c9shpL,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0127,N5,お姉さん,おねえさん,older sister (formal),（他人的）姐姐（尊称）,Genki Genki_Ln.1 Genki_Ln.7 JLPT JLPT_5 JLPT_N5,"Q,2s6~F,9F",jamsinclair/open-anki-jlpt-decks
jlpt-n5-0128,N5,伯母さん; 叔母さん,おばさん,aunt,伯母；叔母；阿姨（尊称）,JLPT JLPT_5 JLPT_N5,fk]_fvvw.h,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0129,N5,おばあさん,おばあさん,"grandmother, female senior-citizen",祖母；老太太（对老年女性的尊称）,Genki Genki_Ln.6 JLPT JLPT_5 JLPT_N5,K7L64Zdx7D,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0130,N5,お風呂,おふろ,a bath,浴缸；洗澡（敬语说法）,JLPT_N5,btJ^oH!>Ob,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0131,N5,お弁当,おべんとう,a boxed lunch,盒饭；便当（敬语说法）,Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5,ou=Mxez95b,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0132,N5,覚える,おぼえる,"to learn, to commit to memory, to remember, to memorize",记住；想起；学会,Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5,k*NiP6Je8n,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0133,N5,おまわりさん,おまわりさん,policeman (friendly term),警察（亲切的称呼）,JLPT JLPT_5 JLPT_N5,kI/erxg?st,jamsinclair/open-anki-jlpt-decks
